date,log_imoex_actual,log_imoex_pred_ecm,log_imoex_pred_rw,imoex_actual,imoex_pred_ecm,imoex_pred_rw
2024-11-12,7.92181135609208,7.93983083882755,7.93211445675928,2756.7600000000007,2806.8856520702716,2785.31
2024-11-13,7.9244305669360084,7.9240984766277505,7.92181135609208,2763.99,2763.0722581039067,2756.7600000000007
2024-11-14,7.9000695756617345,7.925202908870329,7.9244305669360084,2697.47,2766.125569972006,2763.99
2024-11-15,7.9154248366416935,7.899721688039732,7.9000695756617345,2739.209999999999,2696.531746789079,2697.47
2024-11-18,7.908670207463423,7.91254242628675,7.9154248366416935,2720.77,2731.325840881232,2739.209999999999
2024-11-19,7.874933022722275,7.889309036928023,7.908670207463423,2630.51,2668.599379870011,2720.77
2024-11-20,7.862069854200416,7.883578295180531,7.874933022722275,2596.89,2653.350062679834,2630.51
2024-11-21,7.851116282378955,7.860988644667617,7.862069854200416,2568.599999999999,2594.0837351299137,2596.89
2024-11-22,7.855951571867276,7.854353728841853,7.851116282378955,2581.05,2576.9291803474416,2568.599999999999
2024-11-25,7.836247271810971,7.850142544692531,7.855951571867276,2530.6900000000005,2566.100074711912,2581.05
2024-11-26,7.809683360020456,7.836447858511093,7.836247271810971,2464.350000000001,2531.197673670723,2530.6900000000005
2024-11-27,7.8207927246548,7.811953058126668,7.809683360020456,2491.8799999999997,2469.949682918992,2464.350000000001
2024-11-28,7.843016919821633,7.81683708453067,7.8207927246548,2547.880000000001,2482.0424891411835,2491.8799999999997
2024-11-29,7.8547691834991324,7.838664513687343,7.843016919821633,2577.9999999999995,2536.8146892895884,2547.880000000001
2024-12-02,7.85815367462275,7.859912149028466,7.8547691834991324,2586.74,2591.2927178299583,2577.9999999999995
2024-12-03,7.839777617684148,7.858633716484861,7.85815367462275,2539.639999999999,2587.9820415785207,2586.74
2024-12-04,7.818277404393425,7.837118007068039,7.839777617684148,2485.6200000000003,2532.894520645349,2539.639999999999
2024-12-05,7.828368654754981,7.818405211996709,7.818277404393425,2510.830000000001,2485.937701436774,2485.6200000000003
2024-12-06,7.838434005450973,7.8362002774019395,7.828368654754981,2536.230000000001,2530.5710745134465,2510.830000000001
2024-12-09,7.852785059716098,7.830541546777123,7.838434005450973,2572.8899999999994,2516.2916941628623,2536.230000000001
2024-12-10,7.833104855344638,7.851810588702602,7.852785059716098,2522.7500000000005,2570.3840144775177,2572.8899999999994
2024-12-11,7.829049472638613,7.844884141840983,7.833104855344638,2512.5400000000004,2552.641902019277,2522.7500000000005
2024-12-12,7.8210936569453,7.8169184384061285,7.829049472638613,2492.63,2482.2444211305915,2512.5400000000004
2024-12-13,7.818108418189539,7.826289200130713,7.8210936569453,2485.1999999999994,2505.6142677644666,2492.63
2024-12-16,7.791646778409614,7.807553569254437,7.818108418189539,2420.2999999999993,2459.107035316491,2485.1999999999994
2024-12-17,7.773657570123064,7.785379001977458,7.791646778409614,2377.1500000000005,2405.177542300375,2420.2999999999993
2024-12-18,7.787112280562972,7.77960604287903,7.773657570123064,2409.350000000001,2391.3325524553075,2377.1500000000005
2024-12-19,7.790054799988932,7.781585717802197,7.787112280562972,2416.4499999999994,2396.0713025871155,2409.350000000001
2024-12-20,7.877935532128332,7.845642488403231,7.790054799988932,2638.420000000001,2554.5784234146904,2416.4499999999994
2024-12-23,7.901925148930937,7.919715191416701,7.877935532128332,2702.479999999999,2750.9874293125613,2638.420000000001
2024-12-24,7.89765328625374,7.894828604942432,7.901925148930937,2690.9600000000005,2683.369620826479,2702.479999999999
2024-12-25,7.913092981285752,7.897313105142961,7.89765328625374,2732.83,2690.044741923719,2690.9600000000005
2024-12-26,7.925363564747136,7.913509477176527,7.913092981285752,2766.5700000000006,2733.9684495285046,2732.83
2024-12-27,7.922061618596991,7.92208440742245,7.925363564747136,2757.450000000001,2757.512839762784,2766.5700000000006
2024-12-28,7.932602613582171,7.9147855871524575,7.922061618596991,2786.67,2737.459520962614,2757.450000000001
2024-12-30,7.966600571978504,7.944340951677989,7.932602613582171,2883.0400000000004,2819.573613681471,2786.67
2025-01-03,7.947501814783211,7.964814141605073,7.966600571978504,2828.5000000000005,2877.894247409029,2883.0400000000004
2025-01-06,7.943165042561278,7.950917987004083,7.947501814783211,2816.2600000000007,2838.1791665635315,2828.5000000000005
2025-01-08,7.951837461487509,7.947468182022246,7.943165042561278,2840.789999999999,2828.404871335341,2816.2600000000007
2025-01-09,7.92772831911149,7.937795464710566,7.951837461487509,2773.120000000001,2801.178399831766,2840.789999999999
2025-01-10,7.946118500304403,7.9272927874833625,7.92772831911149,2824.5899999999997,2771.9124815067426,2773.120000000001
2025-01-13,7.960710988670426,7.948344278097814,7.946118500304403,2866.1099999999997,2830.88391152336,2824.5899999999997
2025-01-14,7.958405560464136,7.958991652370074,7.960710988670426,2859.5100000000007,2861.186426888074,2866.1099999999997
2025-01-15,7.95260104190728,7.949636041945159,7.958405560464136,2842.96,2834.543107916276,2859.5100000000007
2025-01-16,7.976351560906651,7.953724713801584,7.95260104190728,2911.290000000001,2846.1563497364937,2842.96
2025-01-17,7.9880406509573625,7.972197296154925,7.976351560906651,2945.52,2899.2208172186597,2911.290000000001
2025-01-20,7.982604106598194,7.994653854626039,7.9880406509573625,2929.549999999999,2965.0638762588883,2945.52
2025-01-21,7.984363919884673,7.978088166881494,7.982604106598194,2934.7099999999996,2916.350156085445,2929.549999999999
2025-01-22,7.997198997808961,7.984488094703483,7.984363919884673,2972.6199999999994,2935.0744397091576,2934.7099999999996
2025-01-23,7.981425757346037,7.994457100702425,7.997198997808961,2926.1,2964.4805456956387,2972.6199999999994
2025-01-24,7.988861900320559,7.9811619031524685,7.981425757346037,2947.939999999999,2925.3280380913707,2926.1
2025-01-27,7.969492634336162,7.99615354634595,7.988861900320559,2891.389999999999,2969.5138939964645,2947.939999999999
2025-01-28,7.983429831030594,7.968893794120063,7.969492634336162,2931.9699999999993,2889.659037724211,2891.389999999999
2025-01-29,7.989790931245445,7.978809864169088,7.983429831030594,2950.6800000000003,2918.455637751585,2931.9699999999993
2025-01-30,7.995465016912924,7.985886409878521,7.989790931245445,2967.4700000000003,2939.1814696299994,2950.6800000000003
2025-01-31,7.988916174036491,7.992358133115842,7.995465016912924,2948.0999999999995,2958.264722806622,2967.4700000000003
2025-02-03,7.981449679687284,7.979048496400302,7.988916174036491,2926.17,2919.1521584349566,2948.0999999999995
2025-02-04,7.978554341004763,7.977574507437563,7.981449679687284,2917.7099999999996,2914.8525299537932,2926.17
2025-02-05,7.982948810028676,7.983732289825986,7.978554341004763,2930.559999999999,2932.856934238095,2917.7099999999996
