date,source,p_synthetic_raw,imoex,fair_value_A,fair_ext,dev_ext
2025-05-12,polymarket,0.565,2930.17,2315.815522314873,2654.331167748904,0.10392027777190682
2025-05-13,polymarket,0.565,2935.53,2294.019831333353,2639.932461685816,0.11197162904895697
2025-05-14,polymarket,0.58,2924.21,2302.1361205002645,2646.4568906302156,0.10495281837129844
2025-05-15,polymarket,0.545,2840.05,2286.9447950225867,2638.8783272185706,0.07623378111315526
2025-05-16,polymarket,0.545,2840.34,2284.6015442846774,2638.6964244605774,0.07641787576251557
2025-05-19,polymarket,0.505,2882.63,2287.624778223141,2644.8707472769893,0.08989446950018043
2025-05-20,polymarket,0.49,2823.42,2279.0200799798818,2640.8885110071956,0.06911745355096022
2025-05-21,polymarket,0.49,2809.58,2276.379028177529,2640.3499648188836,0.06409378962486323
2025-05-22,polymarket,0.435,2792.16,2277.3259797854944,2646.062487258777,0.05521317559381389
2025-05-23,polymarket,0.415,2770.1,2281.169198462825,2651.557541658992,0.04470672669876885
2025-05-26,polymarket,0.415,2699.84,2253.189369065349,2631.836709397803,0.02583871953733663
2025-05-27,polymarket,0.385,2736.75,2245.1166646930737,2629.0628375029055,0.04096028476800351
2025-05-28,polymarket,0.385,2785.2,2253.603727049752,2636.623693979413,0.05635097126671984
2025-05-29,polymarket,0.405,2809.94,2261.405273988602,2642.3205763532683,0.06343644489877431
2025-05-30,polymarket,0.405,2828.83,2271.9477593453284,2651.5450184130323,0.06686101135596556
2025-06-02,polymarket,0.39,2829.67,2272.633428808984,2654.3004621682953,0.06606996469738236
2025-06-03,polymarket,0.38,2834.06,2282.578971818448,2663.4927278863497,0.06403894793022635
2025-06-04,polymarket,0.315,2836.64,2290.1160362111505,2674.515194085788,0.06061839030592231
2025-06-05,polymarket,0.295,2856.61,2282.7549252184517,2671.4639021442686,0.06930510934739664
2025-06-06,polymarket,0.265,2786.16,2261.604684102896,2658.5239171557137,0.048010131494638175
2025-06-09,polymarket,0.245,2737.76,2264.0422279267523,2662.725746671497,0.02817948991641317
2025-06-10,polymarket,0.245,2722.37,2277.0318687765703,2673.4784610799634,0.01828761279800495
2025-06-11,polymarket,0.245,2733.2,2282.339459493665,2678.44986373382,0.020440978570290147
2025-06-13,polymarket,0.225,2750.32,2277.9436558046946,2676.9094546957235,0.02742361911999036
2025-06-16,polymarket,0.255,2737.83,2263.759307442736,2664.754181446767,0.027423099309504817
2025-06-17,polymarket,0.245,2788.94,2258.2735103861087,2661.5714914635087,0.0478546260902637
2025-06-18,polymarket,0.235,2791.83,2275.6284821531644,2675.457075211068,0.04349646490955239
2025-06-19,polymarket,0.255,2783.81,2285.0682802831952,2681.0214635476223,0.03833931874471608
2025-06-20,polymarket,0.24,2751.04,2287.45324598386,2683.86295043372,0.025029985065155413
2025-06-23,polymarket,0.235,2759.67,2281.0203151976502,2679.6614359556456,0.029857713728608015
2025-06-24,polymarket,0.225,2744.95,2275.2326770025647,2676.7342240185462,0.025484702728178377
2025-06-25,polymarket,0.245,2790.78,2287.773699950188,2685.7365506139654,0.03911159840380529
2025-06-26,polymarket,0.245,2797.27,2287.404239131934,2686.3639906339567,0.04128480345653762
2025-06-27,polymarket,0.245,2806.11,2298.5244911863897,2695.7718193896785,0.040930089044146856
2025-06-30,polymarket,0.26,2847.38,2301.4968786979844,2697.933905591149,0.05539279301807265
2025-07-01,polymarket,0.235,2848.44,2296.7116860744777,2696.9471653203823,0.05617196978407302
2025-07-02,polymarket,0.225,2815.26,2299.697987179153,2701.0055327996884,0.04230071571970573
2025-07-03,polymarket,0.225,2823.34,2292.432212074747,2696.440063334098,0.04706202759389089
2025-07-04,polymarket,0.235,2801.65,2288.9590505853807,2693.772124836202,0.040047142135438696
2025-07-07,polymarket,0.225,2756.14,2283.2420574458265,2690.262154876416,0.024487518810824005
2025-07-08,polymarket,0.225,2755.58,2284.8291506621586,2691.491433881404,0.023811543782687572
2025-07-09,polymarket,0.225,2696.45,2267.4298479668128,2678.6107304360753,0.006659896251897779
2025-07-10,polymarket,0.225,2732.45,2275.59290525836,2684.876584585694,0.017719032482696573
2025-07-11,polymarket,0.22,2642.02,2274.007783893439,2684.1865613150217,-0.015709251332501895
2025-07-14,polymarket,0.195,2714.14,2277.1412338827586,2688.5033675241407,0.00953565198598505
2025-07-15,polymarket,0.235,2756.95,2296.116092307589,2700.542391546394,0.02088751083122431
2025-07-16,polymarket,0.225,2777.16,2306.446798137605,2709.2154699827415,0.025079042538352025
2025-07-17,polymarket,0.225,2761.48,2308.5421783439106,2710.9130689162535,0.018653099453300293
2025-07-18,polymarket,0.215,2784.63,2316.599907816528,2717.8011562982733,0.02458930578745866
2025-07-21,polymarket,0.225,2821.78,2315.42370820816,2716.5193278691186,0.03874836120288161
2025-07-22,polymarket,0.255,2825.61,2312.052927251249,2712.1375603227525,0.041838747907662954
2025-07-23,polymarket,0.255,2841.16,2313.6949295962786,2713.6012653946004,0.04700717685833267
2025-07-24,polymarket,0.225,2807.69,2316.3254539751806,2717.810260945988,0.03307064527114112
2025-07-25,polymarket,0.225,2772.39,2321.2597838536485,2721.796446457682,0.018588294362777757
2025-07-28,polymarket,0.195,2730.98,2320.341713242314,2723.3589049744382,0.0027984174291684205
2025-07-29,polymarket,0.205,2758.28,2329.2747481726656,2729.5549468609697,0.01052371309544986
2025-07-30,polymarket,0.215,2726.24,2327.297836203912,2727.029236071422,-0.00028941239829138876
2025-07-31,polymarket,0.215,2732.12,2329.8023924568006,2728.523087037896,0.0013182637080080273
2025-08-01,polymarket,0.235,2727.98,2326.543340442184,2724.454063159902,0.0012941810573265933
2025-08-04,polymarket,0.195,2773.85,2330.35824088573,2729.752824040971,0.016154274325010043
2025-08-05,polymarket,0.205,2786.37,2336.039796356604,2733.235626339477,0.01944009991252882
2025-08-06,polymarket,0.205,2764.62,2331.637741940493,2729.7297288896875,0.01278158447008737
2025-08-07,polymarket,0.265,2876.43,2353.412494776725,2741.994749431208,0.049028266956630207
