date,S1_long_thr2,S1_long_thr3,S1_long_thr5,S1_long_thr7,S1_long_thr10,S2_ls_thr3,S2_ls_thr5,S2_ls_thr7,S2_ls_thr10,S3_prop_sc5,S3_prop_sc10,S3_prop_sc15,S4_long_thr3_rate_filter,BH_buy_hold,RF_ofz
2023-01-27,1.587582686558121,1.587582686558121,1.587582686558121,1.6103238703566602,1.62991804689943,0.9161367574909105,0.9801864037817567,1.131186791568495,1.1010203196253803,0.9035363562004423,1.005625627044199,1.0730626433357664,1.8658931138618269,1.7052788344189898,2.0199880266765198
2023-01-30,1.5985032772629262,1.5985032772629262,1.5985032772629262,1.621400892069758,1.6411298521321727,0.9224386368467983,0.9869288648962212,1.1389679471996281,1.108593967517932,0.9097515604959538,1.0125430783166247,1.0804439772516028,1.8787281335228032,1.7170090279679195,2.0207112338115336
2023-01-31,1.6138689689651058,1.6138689689651058,1.6138689689651058,1.636986688225173,1.6569052938905937,0.9313056238023936,0.9964157673540902,1.149916332845293,1.119250381783747,0.9184965923035165,1.022276198666074,1.0904156869599384,1.8967875004959835,1.7335138620517063,2.021429567484782
2023-02-01,1.6171683506189483,1.6171683506189483,1.6171683506189483,1.640333331571428,1.660292658685347,0.9332095780566626,0.9984528322990316,1.1522672131986569,1.1215385688960386,0.9203743598695577,1.0243661324834406,1.092546411329241,1.900665278680409,1.7370578448304337,2.022148156515282
2023-02-02,1.6268779594859695,1.6268779594859695,1.6268779594859695,1.650182024847549,1.6702611893670485,0.9388126434335111,1.0044476234227155,1.1591855182385555,1.1282723766836393,0.9259003615639071,1.0305165091459758,1.0987476471950817,1.9120770259088602,1.7474872798649737,2.0228633303902783
2023-02-03,1.6303296202930662,1.6303296202930662,1.6303296202930662,1.6536831286559386,1.6738048940754056,0.9408044724995156,1.006578706749731,1.1616449007620746,1.130666172431883,0.927864795325304,1.0327029014472207,1.1009574997964997,1.9161337784710282,1.7511948310796424,2.023582429102794
2023-02-06,1.6477837118113037,1.6477837118113037,1.6477837118113037,1.6713872397206309,1.691724426077538,0.9508765997303402,1.0173550041617603,1.1740813161698684,1.1427709337050382,0.9377983920977452,1.0437588810041456,1.1116157718804147,1.936647651196108,1.769942889427766,2.0242995797210708
2023-02-07,1.644390062110209,1.644390062110209,1.644390062110209,1.6679449779930546,1.6882402794315063,0.9489182467830922,1.0152597373612493,1.1716632678064087,1.14041736981811,0.9358669740298172,1.0416092347919974,1.1096781912747484,1.9326590793492706,1.7662976499982181,2.02501918899949
2023-02-08,1.6329908797808903,1.6329908797808903,1.6329908797808903,1.656382509113247,1.6765371201845796,0.9423401894474642,1.0082217899031227,1.1635411053547875,1.1325118090697093,0.9293793902631874,1.034388628284525,1.10311063460482,1.9192615687868169,1.754053384222044,2.0257412587743073
2023-02-09,1.6405903346671027,1.6405903346671027,1.6405903346671027,1.6640908216997852,1.6843392263491974,0.9467255610045495,1.012913754875207,1.1689558803225348,1.1377821829019763,0.9337044461076072,1.039202365956173,1.1077075618915877,1.9281932424951191,1.7622162280728266,2.0264694643351056
2023-02-10,1.6399594638893351,1.6399594638893351,1.6399594638893351,1.663450914070941,1.6836915324214097,0.946361508213074,1.0125242501494711,1.1685063713318917,1.1373446614101757,0.9333454004411335,1.0388027522372483,1.1073896038372875,1.9274517772158997,1.7615385874096416,2.027198666420892
2023-02-13,1.6419100873286396,1.6419100873286396,1.6419100873286396,1.665429479038287,1.6856941722670988,0.9474871427062571,1.0137285808531835,1.1698962324638802,1.1386974577468931,0.9344555531340236,1.0400383394831199,1.1085493663832564,1.9297443537688894,1.7636338211843177,2.027938414123305
2023-02-14,1.6186766393749903,1.6186766393749903,1.6186766393749903,1.6418632256725725,1.6618411683058054,0.9340799571443283,0.9993840619881471,1.1533419013601944,1.1225845972902293,0.9212327678997476,1.0253215307999508,1.0967786700927573,1.902437977279003,1.7386779512435662,2.0286740246679997
2023-02-15,1.5709842588534073,1.5709842588534073,1.5709842588534073,1.5934876799839628,1.612876996316596,0.9065584030117424,0.9699384001356676,1.1193600550215734,1.0895089783066216,0.8940897409066662,0.9951116523014482,1.0683118164193517,1.8463849066878721,1.687449874901393,2.0294209192891532
2023-02-16,1.561920023540654,1.561920023540654,1.561920023540654,1.5842936048568894,1.6035710490782638,0.9013277594560586,0.9643420678693456,1.1129015925123327,1.0832227499761504,0.8889310388021577,0.9893700758801119,1.0622418872766466,1.8357316699174733,1.6777136584763184,2.030164416795825
2023-02-17,1.5727390948099564,1.5727390948099564,1.5727390948099564,1.5952676529285643,1.6146786277019372,0.9075710556041228,0.9710218500624275,1.1206104133633625,1.090725992111401,0.895088465634099,0.9962232214966189,1.0695879662206011,1.8484473733266213,1.6893348064012876,2.030907451801026
2023-02-20,1.583391384149504,1.583391384149504,1.583391384149504,1.6060725300179008,1.6256149768964252,0.9137181079107624,0.9775986597418089,1.1282003985042222,1.0981135676453708,0.9011509723473173,1.0029707221069732,1.0768323721922457,1.860967057179194,1.7007768079440353,2.031658107329865
2023-02-21,1.6043116392513388,1.6043116392513388,1.6043116392513388,1.6272924554111865,1.6470931031224962,0.9257904332372806,0.99051499461248,1.1431065299755498,1.1126221826320986,0.9130572568045228,1.0162222804874173,1.0901158509983149,1.8855547276452749,1.723247995453108,2.03240757058852
2023-02-22,1.6042971364748384,1.6042971364748384,1.6042971364748384,1.6272777448909832,1.6470782136069149,0.9257820642075916,0.990506040480854,1.143096196435535,1.11261212466677,0.9130490028811555,1.0162130939651433,1.090125317988381,1.8855376824664423,1.7232324175068279,2.0331558397850524
